Experiment_ID,Priority,Claim_IDs,Dataset_ID,Parameter_Set_ID,Null_ID,Mode,Status,Historical_RandD
EXP-DATA-A01,A,CLAIM-ACSC-001,DATA-SDSS18-200K,PAR-MATCH-001,NULL-MATCH-001,controlled,planned,no
EXP-DATA-A02,A,CLAIM-ACSC-001,DATA-MANGA-HI-ALL,PAR-MATCH-001,NULL-MATCH-001,controlled,planned,no
EXP-CTRL-A01,A,CLAIM-ACSC-001,DATA-PROVENANCE-ALL,PAR-PERM-001,NULL-PROV-001,controlled,planned,no
EXP-CTRL-A02,A,CLAIM-ACSC-001,DATA-PROVENANCE-ALL,PAR-LEAK-001,NULL-LEAK-001,controlled,planned,no
EXP-CTRL-A03,A,CLAIM-ACSC-001,DATA-ARITHMETIC,PAR-RF-001,NULL-RF-001,controlled,planned,no
EXP-K001,A,CLAIM-ACSC-001,DATA-ARITHMETIC,PAR-K-001,NULL-K-001,controlled,planned,no
EXP-L001,A,CLAIM-ACSC-001,DATA-ARITHMETIC,PAR-LCOSMO-001,NULL-LCOSMO-001,controlled,planned,no
EXP-SFR-A01,A,CLAIM-SFR-001,DATA-SFR-MANGA-PIP3D,PAR-SFR-001,NULL-SFR-001,controlled,planned,no
EXP-SFR-A02,A,CLAIM-SFR-001,DATA-SFR-MANGA-PIP3D,PAR-SFR-002,NULL-SFR-002,controlled,planned,no
EXP-SFR-A03,A,CLAIM-SFR-001,DATA-SFR-MANGA-PIP3D,PAR-SFR-003,NULL-SFR-003,controlled,planned,no
EXP-RANK-A01,A,CLAIM-ACSC-001,DATA-ARITHMETIC,PAR-RANK-001,NULL-RANK-001,controlled,planned,no
EXP-RANK-A02,A,CLAIM-ACSC-003,DATA-COSMIC-ENV,PAR-RANK-002,NULL-RANK-002,controlled,planned,no
EXP-TOPO-A01,A,CLAIM-ACSC-003,DATA-ARITHMETIC,PAR-TOPO-001,NULL-TOPO-001,controlled,planned,no
EXP-MAP-A01,A,CLAIM-ACSC-001,DATA-ARITHMETIC,PAR-MAP-001,NULL-MAP-001,controlled,planned,no
EXP-MAP-A02,A,CLAIM-ACSC-002,DATA-ARITHMETIC,PAR-MAP-002,NULL-MAP-002,controlled,planned,no
EXP-MAP-A03,A,CLAIM-ACSC-002,DATA-ARITHMETIC,PAR-MAP-003,NULL-MAP-003,controlled,planned,no
EXP-RTCH-B01,B,CLAIM-RTCH-001,DATA-PHYS-CONSTRAINTS,PAR-RTCH-001,NULL-RTCH-001,controlled,planned,no
EXP-ECC-B01,B,CLAIM-ECC-001,DATA-ECC-THEORY,PAR-ECC-001,NULL-ECC-001,controlled,planned,no
