Reconciliation_ID,System_Area,Registry_ID,Recovered_Value,Source_Artifact,Historical_or_Controlled,Can_Be_Locked,Reason_if_Not,Required_Experiment
REC-PAR-001,Parameter,PAR-PERM-001,"No single provenance-permutation specification recovered; historical permutation/randomization concepts only.","R&D archive; historical provenance/permutation workflows",Historical,No,"Historical implementations are heterogeneous and do not define one controlled permutation protocol.","EXP-CTRL-A01 provenance permutation control"
REC-PAR-002,Parameter,PAR-K-001,"Multiple historical K constructions: 9-galaxy K=0.01175200709965099; larger log-mass K≈0.549; simulation N=500, mu=9.7843, sigma=0.3645, 100 simulations.","Validation of BSDCT.pdf; Research Compilation artifacts; K simulation records",Historical,No,"Historical sample definitions and normalization differ.","EXP-K001 controlled K reconstruction and null calibration"
REC-PAR-003,Parameter,PAR-RANK-001,"Elliptic-curve rank computation is historically established; controlled curve/sample selection and rank-analysis parameters are not fixed.","ACSC/elliptic-curve R&D; LMFDB/Cremona workflows",Historical,No,"Historical rank cases exist but no single preregistered sample and analysis rule was recovered.","EXP-RANK-A01 rank/environment analysis"
REC-PAR-004,Parameter,PAR-MAP-002,"PTD mapping: (log|Delta|, log Omega, log(1+|E(Q)_tors|)); exact scaling/normalization unresolved.","Criteria_for_Alternative_Mappings_Φ.pdf; ACSC mapping R&D",Historical,No,"Mapping family is recovered but scale/normalization was not uniquely locked.","EXP-MAP-A02 PTD mapping comparison"
REC-PAR-005,Parameter,PAR-MAP-003,"MCJ mapping: (log N, Re(log j(E)), Im(log j(E))); exact branch/scaling/normalization unresolved.","Criteria_for_Alternative_Mappings_Φ.pdf; ACSC mapping R&D",Historical,No,"Mapping family is recovered but branch and normalization choices remain open.","EXP-MAP-A03 MCJ mapping comparison"
REC-PAR-006,Parameter,PAR-RTCH-001,"RTCH action/recovery structure is recovered, but no controlled numerical recovery parameter set is fixed.","Relativistic Thermodynamic Cohomology with Unified Point-Particle and Perfect-Fluid Matter Dynamics.pdf",Historical,No,"Theory requires a standard-physics recovery test before numerical parameters can be locked.","EXP-RTCH-B01 recovery-limit test"
REC-PAR-007,Parameter,PAR-LCOSMO-001,"Historical canonical candidate recovered: L_cosmo,unscaled(s)=sum_i(M0/M_i)^s, with M0 the median stellar mass of the entire observational sample; 1/N form is the historical operational normalization; CMB and P(k) are alternative/mock branches; ECC Lcosmo(s) is a distinct local symbolic ML feature.","Arithmetic Invariants and Cosmological Geometry in Cartography.pdf §2.1; Cosmological_L-function+Galaxy_Mass_Distribution.pdf; Entropy_Cohomology_Conjecture_(ECC).pdf",Historical,No,"Historical definition is recovered, but controlled dataset, sample freezing, s grid, scaling choice, and leakage-safe computation remain unresolved.","EXP-L001 controlled L_cosmo reconstruction and null comparison"
REC-NULL-001,Null,NULL-PROV-001,"No single provenance permutation null recovered.","R&D provenance/randomization workflows",Historical,No,"No fixed null-preserving permutation rule exists.","EXP-CTRL-A01"
REC-NULL-002,Null,NULL-LEAK-001,"Held-out validation and leakage diagnostics are historically present; exact controlled leakage null/exclusions unresolved.","Historical SFR validation workflows",Historical,No,"Leakage controls need a fixed protocol tied to the final data lineage.","EXP-CTRL-A02 leakage audit"
REC-NULL-003,Null,NULL-RF-001,"Historical RF controls exist; dedicated arithmetic-reconstruction null is not fixed.","Historical RF/model scripts",Historical,No,"No unique arithmetic null construction was recovered.","EXP-CTRL-A03 random-feature/arithmetic reconstruction control"
REC-NULL-004,Null,NULL-K-001,"Log-normal simulation control: N=500, mu=9.7843, sigma=0.3645, 100 simulations per cluster.","Validation of BSDCT.pdf; K simulation artifacts",Historical,No,"Simulation is historical and must be independently rerun and calibrated against alternative nulls.","EXP-K001"
REC-NULL-005,Null,NULL-LCOSMO-001,"Historical alternatives and baseline/expanded comparisons exist, but no single null-preserving L_cosmo null is fixed.","Arithmetic Invariants and Cosmological Geometry in Cartography.pdf; L_cosmo R&D",Historical,No,"Null must preserve relevant mass/redshift/sample structure without leaking the target.","EXP-L001"
REC-NULL-006,Null,NULL-SFR-001,"Historical RF/GB baselines and held-out performance exist; exact controlled baseline is unresolved.","Pipe3D SFR R&D; Research Compilation",Historical,No,"Final astrophysical baseline and split protocol must be fixed.","EXP-SFR-A01"
REC-NULL-007,Null,NULL-SFR-002,"Historical arithmetic-feature/permutation logic exists; exact feature-label permutation procedure is unresolved.","SFR R&D and permutation-control workflows",Historical,No,"Permutation must be defined before controlled execution.","EXP-SFR-A02"
REC-NULL-008,Null,NULL-SFR-003,"Historical 3-IQR filtering and held-out/5-fold robustness checks exist; null-preserving robustness protocol unresolved.","Pipe3D SFR R&D",Historical,No,"Need fixed outlier policy and null comparison.","EXP-SFR-A03"
REC-NULL-009,Null,NULL-RANK-001,"Elliptic rank calculations are historical; no fixed rank-preserving/randomized null recovered.","Arithmetic rank R&D",Historical,No,"Null must preserve relevant curve/invariant structure while disrupting spatial association.","EXP-RANK-A01"
REC-NULL-010,Null,NULL-RANK-002,"Morphology/environment cosmo_rank controls exist but are not elliptic rank; no elliptic-rank/environment null recovered.","Historical cosmo_rank/environment R&D",Historical,No,"Must separate morphology-derived cosmo_rank from elliptic rank.","EXP-RANK-A02"
REC-NULL-011,Null,NULL-TOPO-001,"Ripser/GUDHI and Wasserstein/bottleneck comparisons are historical; W2<0.01 is exploratory and not null-calibrated.","Historical TDA R&D",Historical,No,"Resolution, noise, filtration, and null calibration remain to be fixed.","EXP-TOPO-A01"
REC-NULL-012,Null,NULL-MAP-001,"Alternative projections and degeneracy controls are documented; fixed primary-mapping null not recovered.","Criteria_for_Alternative_Mappings_Φ.pdf; ACSC mapping R&D",Historical,No,"Primary mapping null must be defined independently of observed fit.","EXP-MAP-A01"
REC-NULL-013,Null,NULL-MAP-002,"PTD is documented as BSD-independent; no fixed PTD null construction recovered.","Criteria_for_Alternative_Mappings_Φ.pdf",Historical,No,"Need null preserving invariant distributions while disrupting cosmic correspondence.","EXP-MAP-A02"
REC-NULL-014,Null,NULL-MAP-003,"MCJ is documented as BSD-independent; no fixed MCJ null construction recovered.","Criteria_for_Alternative_Mappings_Φ.pdf",Historical,No,"Need null preserving invariant distributions while disrupting cosmic correspondence.","EXP-MAP-A03"
REC-NULL-015,Null,NULL-RTCH-001,"RTCH standard-physics recovery requirement is documented; no numerical null/control construction recovered.","Relativistic Thermodynamic Cohomology with Unified Point-Particle and Perfect-Fluid Matter Dynamics.pdf",Historical,No,"Recovery must be demonstrated against known limits before a null can be locked.","EXP-RTCH-B01"
REC-NULL-016,Null,NULL-ECC-001,"Historical baseline/expanded ECC feature comparisons and held-out testing exist; dedicated field/cohomology null remains undefined.","The Entropy Cohomology Conjecture (ECC).pdf",Historical,No,"A dedicated null must separate symbolic feature effects from ordinary astrophysical predictors.","EXP-ECC-B01"
REC-PROV-001,Provenance,DATA-SFR-MANGA-PIP3D,"Schema corrected: all 12 CSV columns now parse with Provenance_Status=deferred and Lineage_Status=partially_documented.","registry/data_provenance_registry_v0.1.csv",Controlled_registry_validation,Yes, "The prior CI failure was caused by a malformed CSV row at commit c0c44d1; the branch copy now requires a fully quoted Pipe3D row and schema validation.","CI registry-validation rerun"
